title,review,rating,role,date,company,full_text,cleaned_text,token_count,processed_text,rating_num
"""Plan to be here for a while""","Brilliant, collaborative colleagues with low egos. Incredible amount of transparency on day 1. Truly innovative work.

A few additional thoughts/anecdotes:
- This is the first workplace I've been at where our culture does not feel like a facade. Actions from leadership are aligned with their words. The ""culture"" session during onboarding was great (my favorite is ""Hold light and shade"") and I believe in the culture more every day.
- On work-life balance, I work on the evenings/weekends because I feel motivated to, not because my boss wants me to, so it feels more like play than work. I am also encouraged to take time off.
- You do not have to be AGI-pilled (I'm not), but you do have to be open minded and willing to have debates / conversations. My interview experience was poor. It was slow, and my recruiter was not responsive. In fact, it was so bad that I initially turn down the offer for a competing lab. Now that I'm on the other side, I can see the *volume* of candidates we receive, and have a bit more understanding of the pressure recruiting is under. That said, I still think we need to dramatically up our recruiting game to attract the best talent in the industry.",5.0,Software Engineer,August 9 2025,anthropic,"""Plan to be here for a while"". Brilliant, collaborative colleagues with low egos. Incredible amount of transparency on day 1. Truly innovative work.

A few additional thoughts/anecdotes:
- This is the first workplace I've been at where our culture does not feel like a facade. Actions from leadership are aligned with their words. The ""culture"" session during onboarding was great (my favorite is ""Hold light and shade"") and I believe in the culture more every day.
- On work-life balance, I work on the evenings/weekends because I feel motivated to, not because my boss wants me to, so it feels more like play than work. I am also encouraged to take time off.
- You do not have to be AGI-pilled (I'm not), but you do have to be open minded and willing to have debates / conversations. My interview experience was poor. It was slow, and my recruiter was not responsive. In fact, it was so bad that I initially turn down the offer for a competing lab. Now that I'm on the other side, I can see the *volume* of candidates we receive, and have a bit more understanding of the pressure recruiting is under. That said, I still think we need to dramatically up our recruiting game to attract the best talent in the industry.","plan to be here for a while . brilliant, collaborative colleagues with low egos. incredible amount of transparency on day 1. truly innovative work. a few additional thoughts anecdotes this is the first workplace i've been at where our culture does not feel like a facade. actions from leadership are aligned with their words. the culture session during onboarding was great my favorite is hold light and shade and i believe in the culture more every day. on work life balance, i work on the evenings weekends because i feel motivated to, not because my boss wants me to, so it feels more like play than work. i am also encouraged to take time off. you do not have to be agi pilled i'm not , but you do have to be open minded and willing to have debates conversations. my interview experience was poor. it was slow, and my recruiter was not responsive. in fact, it was so bad that i initially turn down the offer for a competing lab. now that i'm on the other side, i can see the volume of candidates we receive, and have a bit more understanding of the pressure recruiting is under. that said, i still think we need to dramatically up our recruiting game to attract the best talent in the industry.",91,plan brilliant collaborative colleague low ego incredible amount transparency day truly innovative additional thought anecdote first workplace culture feel like facade action leadership aligned word culture session onboarding favorite hold light shade believe culture every day life balance evening weekend feel motivated bos want feel like play also encouraged take time agi pilled open minded willing debate conversation interview experience poor slow recruiter responsive fact bad initially turn offer competing lab side see volume candidate receive bit understanding pressure recruiting said still think need dramatically recruiting game attract best talent industry,5.0
"""Hopefully my last job""","An indescribable feeling to be surrounded by super high talent density at the fastest growing company in history working on what might be the most revolutionary technology and get highly paid at the same time. It can get intense, but the company takes care of you.",5.0,Software Engineer,July 6 2025,anthropic,"""Hopefully my last job"". An indescribable feeling to be surrounded by super high talent density at the fastest growing company in history working on what might be the most revolutionary technology and get highly paid at the same time. It can get intense, but the company takes care of you.","hopefully my last job . an indescribable feeling to be surrounded by super high talent density at the fastest growing company in history working on what might be the most revolutionary technology and get highly paid at the same time. it can get intense, but the company takes care of you.",24,hopefully last indescribable feeling surrounded super high talent density fastest growing history working might revolutionary technology get highly paid time get intense take care,5.0
"""This is the place to be""","- excellent benefits
- top pay 
- wonderful culture
- people work because they truly enjoy it
- feels like I’m working towards making the world better - things move fast and often switch direction
- uncharted territory so there is some risk",5.0,Software Engineer,June 27 2025,anthropic,"""This is the place to be"". - excellent benefits
- top pay 
- wonderful culture
- people work because they truly enjoy it
- feels like I’m working towards making the world better - things move fast and often switch direction
- uncharted territory so there is some risk",this is the place to be . excellent benefits top pay wonderful culture people work because they truly enjoy it feels like i m working towards making the world better things move fast and often switch direction uncharted territory so there is some risk,25,place excellent benefit top pay wonderful culture truly enjoy feel like working towards making world better thing move fast often switch direction uncharted territory risk,5.0
"""Great comp smart people poor product vision and some bad leadership ""","Great com, amazing benefits, and smart coworkers for the most part Poor product vision IMO and some bad apples on the leadership team",4.0,Technical Staff,June 4 2025,anthropic,"""Great comp smart people poor product vision and some bad leadership "". Great com, amazing benefits, and smart coworkers for the most part Poor product vision IMO and some bad apples on the leadership team","great comp smart people poor product vision and some bad leadership . great com, amazing benefits, and smart coworkers for the most part poor product vision imo and some bad apples on the leadership team",20,comp smart poor product vision bad leadership com amazing benefit smart coworkers part poor product vision imo bad apple leadership,4.0
"""This is the place to be""","There are people here that are so so talented and energetic. Overall everyone is just super excited to be here and very humble and kind at the same time. Some of the best culture of any company I’ve been at.

Leadership is extremely thoughtful & transparent about every decision they’re making and clearly is not overly driven by profits. So far it’s been very fun to work here and I’ve been given latitude to pick projects that are interesting to me. Being able to use cutting-edge AI tools on the job also makes it easier to spend more time on the fun stuff. Expectations are quite high. I would not work here if you want great WLB but FWIW I would def take 60hrs/wk of exciting and impactful work over 30hrs/wk of sleepy boring work.",5.0,Software Engineer,April 19 2025,anthropic,"""This is the place to be"". There are people here that are so so talented and energetic. Overall everyone is just super excited to be here and very humble and kind at the same time. Some of the best culture of any company I’ve been at.

Leadership is extremely thoughtful & transparent about every decision they’re making and clearly is not overly driven by profits. So far it’s been very fun to work here and I’ve been given latitude to pick projects that are interesting to me. Being able to use cutting-edge AI tools on the job also makes it easier to spend more time on the fun stuff. Expectations are quite high. I would not work here if you want great WLB but FWIW I would def take 60hrs/wk of exciting and impactful work over 30hrs/wk of sleepy boring work.",this is the place to be . there are people here that are so so talented and energetic. overall everyone is just super excited to be here and very humble and kind at the same time. some of the best culture of any company i ve been at. leadership is extremely thoughtful transparent about every decision they re making and clearly is not overly driven by profits. so far it s been very fun to work here and i ve been given latitude to pick projects that are interesting to me. being able to use cutting edge ai tools on the job also makes it easier to spend more time on the fun stuff. expectations are quite high. i would not work here if you want great wlb but fwiw i would def take 60hrs wk of exciting and impactful work over 30hrs wk of sleepy boring work.,56,place talented energetic overall everyone super excited humble kind time best culture leadership extremely thoughtful transparent every decision making clearly overly driven profit far fun given latitude pick project interesting able use cutting edge tool also make easier spend time fun stuff expectation quite high would want wlb fwiw would def take exciting impactful sleepy boring,5.0
"""Good support and culture""","The people at Anthropic and great and super helpful. Since everyone is relatively new there’s no real sense of hierarchy A lot is expected of you and there’s always a lot to do. Since the company is so new, it still feels very start up like where sometimes structure isn’t there",5.0,Product Analyst,April 3 2025,anthropic,"""Good support and culture"". The people at Anthropic and great and super helpful. Since everyone is relatively new there’s no real sense of hierarchy A lot is expected of you and there’s always a lot to do. Since the company is so new, it still feels very start up like where sometimes structure isn’t there","good support and culture . the people at anthropic and great and super helpful. since everyone is relatively new there s no real sense of hierarchy a lot is expected of you and there s always a lot to do. since the company is so new, it still feels very start up like where sometimes structure isn t there",24,support culture anthropic super helpful since everyone relatively new real sense hierarchy lot expected always lot since new still feel start like sometimes structure,5.0
"""exciting time""","it’s important work with lots of very good (both in person and in work) people while it’s important work, there certainly is a lot to be done",5.0,Account,February 17 2025,anthropic,"""exciting time"". it’s important work with lots of very good (both in person and in work) people while it’s important work, there certainly is a lot to be done","exciting time . it s important work with lots of very good both in person and in work people while it s important work, there certainly is a lot to be done",9,exciting time important lot person important certainly lot done,5.0
"""Great place to learn and have real impact""","-You will learn (through blood sweat and tears) the top tech and business skills
-You will know what a good culture looks like (perhaps similar to early Google?)
-You will get a really hood base salary It is a hypergowth startup in a hyper-competitive industry, so expect long hours (sometimes), hard tradeoffs, and very high intensity.",5.0,Data Scientist,February 13 2025,anthropic,"""Great place to learn and have real impact"". -You will learn (through blood sweat and tears) the top tech and business skills
-You will know what a good culture looks like (perhaps similar to early Google?)
-You will get a really hood base salary It is a hypergowth startup in a hyper-competitive industry, so expect long hours (sometimes), hard tradeoffs, and very high intensity.","great place to learn and have real impact . you will learn through blood sweat and tears the top tech and business skills you will know what a good culture looks like perhaps similar to early google? you will get a really hood base salary it is a hypergowth startup in a hyper competitive industry, so expect long hours sometimes , hard tradeoffs, and very high intensity.",38,place learn real impact learn blood sweat tear top tech business skill know culture look like perhaps similar early google get really hood base salary hypergowth startup hyper competitive industry expect long hour sometimes hard tradeoff high intensity,5.0
"""Exciting place to be right now ""","Fast paced, exciting place to be right now, Claude is currently the best model in coding Not much, maybe growing a bit too fast in the past year",5.0,Engineer,January 19 2025,anthropic,"""Exciting place to be right now "". Fast paced, exciting place to be right now, Claude is currently the best model in coding Not much, maybe growing a bit too fast in the past year","exciting place to be right now . fast paced, exciting place to be right now, claude is currently the best model in coding not much, maybe growing a bit too fast in the past year",20,exciting place right fast paced exciting place right claude currently best model coding much maybe growing bit fast past year,5.0
"""Best place I’ve been at""","Really really talented people
Best benefits I’ve seen by far
Extremely relevant and interesting work
Culture of being open and thoughtful There’s always more work to do and the company has high ambitions. Management has always been reasonable, but nonetheless the expectations are high.",5.0,Software Engineer,January 16 2025,anthropic,"""Best place I’ve been at"". Really really talented people
Best benefits I’ve seen by far
Extremely relevant and interesting work
Culture of being open and thoughtful There’s always more work to do and the company has high ambitions. Management has always been reasonable, but nonetheless the expectations are high.","best place i ve been at . really really talented people best benefits i ve seen by far extremely relevant and interesting work culture of being open and thoughtful there s always more work to do and the company has high ambitions. management has always been reasonable, but nonetheless the expectations are high.",24,best place really really talented best benefit seen far extremely relevant interesting culture open thoughtful always high ambition management always reasonable nonetheless expectation high,5.0
"""I don't want to ever work anywhere else""","- surrounded by insanely smart and thoughtful people
- the work feels high impact across pretty much any team
- culturally there's a certain weirdness that makes it fun to clock into work
- high degree of trust and transparency from leadership that feels genuine work life balance is hard (but not impossible) to achieve",5.0,Software Engineer,December 24 2024,anthropic,"""I don't want to ever work anywhere else"". - surrounded by insanely smart and thoughtful people
- the work feels high impact across pretty much any team
- culturally there's a certain weirdness that makes it fun to clock into work
- high degree of trust and transparency from leadership that feels genuine work life balance is hard (but not impossible) to achieve",i don't want to ever work anywhere else . surrounded by insanely smart and thoughtful people the work feels high impact across pretty much any team culturally there's a certain weirdness that makes it fun to clock into work high degree of trust and transparency from leadership that feels genuine work life balance is hard but not impossible to achieve,32,want ever anywhere else surrounded insanely smart thoughtful feel high impact across pretty much culturally certain weirdness make fun clock high degree trust transparency leadership feel genuine life balance hard impossible achieve,5.0
"""I never want to work anywhere else""","- exciting work
- brilliant people 
- great comp and benefits 
- important mission and genuine interest in achieving it. - lots of competition means WLB isn't good. But, it's worth it",5.0,Technical Staff,December 20 2024,anthropic,"""I never want to work anywhere else"". - exciting work
- brilliant people 
- great comp and benefits 
- important mission and genuine interest in achieving it. - lots of competition means WLB isn't good. But, it's worth it","i never want to work anywhere else . exciting work brilliant people great comp and benefits important mission and genuine interest in achieving it. lots of competition means wlb isn't good. but, it's worth it",18,never want anywhere else exciting brilliant comp benefit important mission genuine interest achieving lot competition mean wlb worth,5.0
"""Obviously the place to be""","- Incredible people, talent density is off the charts and continues to grow.
- Extremely close knit, collaborative, not political at all, strong ""we're in this together"" culture
- Management is reasonable, listens to folks, very strong company culture of speaking up, questioning norms, getting and giving feedback
- Tons to do - low hanging fruit everywhere. More problems than we have people. It's very easy to work on extremely high impact stuff.
- More remote friendly than other AI labs, offices in SF, NY, London, Seattle, etc
- Cushy job - still tons of benefits and nice office perks - reminds me of Google/FB before the money ran out
- We have the best models and none of the drama :) we've had way more people leave from That Place to This Place than the reverse direction - Growing quickly: some of the things that made Anthropic so special may not be true in the future, though so far we've dealt with the growth reasonably well
- Less clear career progression: company is new and the ""we're in this together"" culture means that people are mostly focused on making sure AI and Anthropic goes well, rather than focusing a lot on individual career growth and progression. People who are used to level-chasing at Big Tech won't find much of that here, for better or for worse. We are growing quickly and therefore have a plurality of newer/somewhat less experienced managers who are managers simply because they were early employees, and thus may not be calibrated on broader industry norms
- Sometimes chaotic - obviously AI is a very fast-paced space, this means we often pivot, thrash, which segues into
- WLB: We obviously work very hard here. Plenty of individual freedom to work and set your own schedule, but be prepared to sprint when necessary.
- If you work at Anthropic you may become convinced that you are working at the most important thing, at the most important time, at the most important company, perhaps in all of history. This may or may not be true—at the very least, take it with a grain of salt.",5.0,Technical Staff,December 1 2024,anthropic,"""Obviously the place to be"". - Incredible people, talent density is off the charts and continues to grow.
- Extremely close knit, collaborative, not political at all, strong ""we're in this together"" culture
- Management is reasonable, listens to folks, very strong company culture of speaking up, questioning norms, getting and giving feedback
- Tons to do - low hanging fruit everywhere. More problems than we have people. It's very easy to work on extremely high impact stuff.
- More remote friendly than other AI labs, offices in SF, NY, London, Seattle, etc
- Cushy job - still tons of benefits and nice office perks - reminds me of Google/FB before the money ran out
- We have the best models and none of the drama :) we've had way more people leave from That Place to This Place than the reverse direction - Growing quickly: some of the things that made Anthropic so special may not be true in the future, though so far we've dealt with the growth reasonably well
- Less clear career progression: company is new and the ""we're in this together"" culture means that people are mostly focused on making sure AI and Anthropic goes well, rather than focusing a lot on individual career growth and progression. People who are used to level-chasing at Big Tech won't find much of that here, for better or for worse. We are growing quickly and therefore have a plurality of newer/somewhat less experienced managers who are managers simply because they were early employees, and thus may not be calibrated on broader industry norms
- Sometimes chaotic - obviously AI is a very fast-paced space, this means we often pivot, thrash, which segues into
- WLB: We obviously work very hard here. Plenty of individual freedom to work and set your own schedule, but be prepared to sprint when necessary.
- If you work at Anthropic you may become convinced that you are working at the most important thing, at the most important time, at the most important company, perhaps in all of history. This may or may not be true—at the very least, take it with a grain of salt.","obviously the place to be . incredible people, talent density is off the charts and continues to grow. extremely close knit, collaborative, not political at all, strong we're in this together culture management is reasonable, listens to folks, very strong company culture of speaking up, questioning norms, getting and giving feedback tons to do low hanging fruit everywhere. more problems than we have people. it's very easy to work on extremely high impact stuff. more remote friendly than other ai labs, offices in sf, ny, london, seattle, etc cushy job still tons of benefits and nice office perks reminds me of google fb before the money ran out we have the best models and none of the drama we've had way more people leave from that place to this place than the reverse direction growing quickly some of the things that made anthropic so special may not be true in the future, though so far we've dealt with the growth reasonably well less clear career progression company is new and the we're in this together culture means that people are mostly focused on making sure ai and anthropic goes well, rather than focusing a lot on individual career growth and progression. people who are used to level chasing at big tech won't find much of that here, for better or for worse. we are growing quickly and therefore have a plurality of newer somewhat less experienced managers who are managers simply because they were early employees, and thus may not be calibrated on broader industry norms sometimes chaotic obviously ai is a very fast paced space, this means we often pivot, thrash, which segues into wlb we obviously work very hard here. plenty of individual freedom to work and set your own schedule, but be prepared to sprint when necessary. if you work at anthropic you may become convinced that you are working at the most important thing, at the most important time, at the most important company, perhaps in all of history. this may or may not be true at the very least, take it with a grain of salt.",173,obviously place incredible talent density chart continues grow extremely close knit collaborative political strong together culture management reasonable listens folk strong culture speaking questioning norm getting giving feedback ton low hanging fruit everywhere problem easy extremely high impact stuff remote friendly lab office london seattle etc cushy still ton benefit nice office perk reminds google money ran best model none drama way leave place place reverse direction growing quickly thing made anthropic special may true future though far dealt growth reasonably well le clear career progression new together culture mean mostly focused making sure anthropic go well rather focusing lot individual career growth progression used level chasing big tech find much better worse growing quickly therefore plurality newer somewhat le experienced manager manager simply early employee thus may calibrated broader industry norm sometimes chaotic obviously fast paced space mean often pivot thrash segue wlb obviously hard plenty individual freedom set schedule prepared sprint necessary anthropic may become convinced working important thing important time important perhaps history may may true least take grain salt,5.0
